Team,Year,Round of 64,64WL,64PD,Round of 32,32WL,32PD,Sweet 16,16WL,16PD,Elite 8,8WL,8PD,Final 4,4WL,4PD,Championship,2WL
Marquette,2017,South Carolina,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duke,2017,Troy,1,22,South Carolina,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Troy,2017,Duke,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gonzaga,2017,South Dakota St.,1,20,Northwestern,1,6,West Virginia,1,3,Xavier,1,24,South Carolina,1,4,North Carolina,0
South Dakota St.,2017,Gonzaga,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Northwestern,2017,Vanderbilt,1,2,Vanderbilt,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vanderbilt,2017,Northwestern,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notre Dame,2017,Princeton,1,2,West Virginia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Princeton,2017,Notre Dame,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
West Virginia,2017,Bucknell,1,6,Notre Dame,1,12,Gonzaga,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bucknell,2017,West Virginia,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maryland,2017,Xavier,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xavier,2017,Maryland,1,12,Florida St.,1,25,Arizona,1,2,Gonzaga,0,NA,NA,NA,NA,NA,NA
Florida St.,2017,Florida Gulf Coast,1,6,Xavier,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Florida Gulf Coast,2017,Florida St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Saint Mary's ,2017,VCU,1,8,Arizona,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VCU,2017,Saint Mary's,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arizona,2017,North Dakota,1,18,Saint Mary's,1,9,Xavier,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
North Dakota,2017,Arizona,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Kansas,2017,UC Davis,1,38,Michigan St.,1,20,Purdue,1,32,Oregon,0,NA,NA,NA,NA,NA,NA
UC Davis,2017,Kansas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Miami FL,2017,Michigan St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michigan St.,2017,Miami FL,1,20,Kansas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Iowa St.,2017,Nevada,1,11,Purdue,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nevada,2017,Iowa St.,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Purdue,2017,Vermont,1,10,Iowa St.,1,4,Kansas,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Vermont,2017,Purdue,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Creighton,2017,Rhode Island,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhode Island,2017,Creighton,1,12,Oregon,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oregon,2017,Iona,1,16,Rhode Island,1,3,Michigan,1,1,Kansas,1,14,North Carolina,0,NA,NA,NA
